date,matchday,stage,status,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,winner,competition,competition_code,match_id,season
2025-08-22 18:30:00+00:00,1,REGULAR_SEASON,FINISHED,FC Bayern München,RB Leipzig,6,0,3,0,HOME_TEAM,Bundesliga,BL1,540406,2025
2025-08-23 13:30:00+00:00,1,REGULAR_SEASON,FINISHED,Eintracht Frankfurt,SV Werder Bremen,4,1,2,0,HOME_TEAM,Bundesliga,BL1,540407,2025
2025-08-23 13:30:00+00:00,1,REGULAR_SEASON,FINISHED,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,1,2,1,1,AWAY_TEAM,Bundesliga,BL1,540408,2025
2025-08-23 13:30:00+00:00,1,REGULAR_SEASON,FINISHED,SC Freiburg,FC Augsburg,1,3,0,3,AWAY_TEAM,Bundesliga,BL1,540409,2025
2025-08-23 13:30:00+00:00,1,REGULAR_SEASON,FINISHED,1. FC Union Berlin,VfB Stuttgart,2,1,2,0,HOME_TEAM,Bundesliga,BL1,540412,2025
2025-08-23 13:30:00+00:00,1,REGULAR_SEASON,FINISHED,1. FC Heidenheim 1846,VfL Wolfsburg,1,3,1,1,AWAY_TEAM,Bundesliga,BL1,540414,2025
2025-08-23 16:30:00+00:00,1,REGULAR_SEASON,FINISHED,FC St. Pauli 1910,Borussia Dortmund,3,3,0,1,DRAW,Bundesliga,BL1,540413,2025
2025-08-24 13:30:00+00:00,1,REGULAR_SEASON,FINISHED,1. FSV Mainz 05,1. FC Köln,0,1,0,0,AWAY_TEAM,Bundesliga,BL1,540410,2025
2025-08-24 15:30:00+00:00,1,REGULAR_SEASON,FINISHED,Borussia Mönchengladbach,Hamburger SV,0,0,0,0,DRAW,Bundesliga,BL1,540411,2025
2025-08-29 18:30:00+00:00,2,REGULAR_SEASON,FINISHED,Hamburger SV,FC St. Pauli 1910,0,2,0,1,AWAY_TEAM,Bundesliga,BL1,540423,2025
2025-08-30 13:30:00+00:00,2,REGULAR_SEASON,FINISHED,RB Leipzig,1. FC Heidenheim 1846,2,0,0,0,HOME_TEAM,Bundesliga,BL1,540416,2025
2025-08-30 13:30:00+00:00,2,REGULAR_SEASON,FINISHED,SV Werder Bremen,Bayer 04 Leverkusen,3,3,1,2,DRAW,Bundesliga,BL1,540417,2025
2025-08-30 13:30:00+00:00,2,REGULAR_SEASON,FINISHED,VfB Stuttgart,Borussia Mönchengladbach,1,0,0,0,HOME_TEAM,Bundesliga,BL1,540418,2025
2025-08-30 13:30:00+00:00,2,REGULAR_SEASON,FINISHED,TSG 1899 Hoffenheim,Eintracht Frankfurt,1,3,0,2,AWAY_TEAM,Bundesliga,BL1,540421,2025
2025-08-30 16:30:00+00:00,2,REGULAR_SEASON,FINISHED,FC Augsburg,FC Bayern München,2,3,0,2,AWAY_TEAM,Bundesliga,BL1,540420,2025
2025-08-31 13:30:00+00:00,2,REGULAR_SEASON,FINISHED,VfL Wolfsburg,1. FSV Mainz 05,1,1,1,0,DRAW,Bundesliga,BL1,540419,2025
2025-08-31 15:30:00+00:00,2,REGULAR_SEASON,FINISHED,Borussia Dortmund,1. FC Union Berlin,3,0,1,0,HOME_TEAM,Bundesliga,BL1,540415,2025
2025-08-31 17:30:00+00:00,2,REGULAR_SEASON,FINISHED,1. FC Köln,SC Freiburg,4,1,1,0,HOME_TEAM,Bundesliga,BL1,540422,2025
2025-09-12 18:30:00+00:00,3,REGULAR_SEASON,FINISHED,Bayer 04 Leverkusen,Eintracht Frankfurt,3,1,2,0,HOME_TEAM,Bundesliga,BL1,540425,2025
2025-09-13 13:30:00+00:00,3,REGULAR_SEASON,FINISHED,SC Freiburg,VfB Stuttgart,3,1,0,1,HOME_TEAM,Bundesliga,BL1,540426,2025
2025-09-13 13:30:00+00:00,3,REGULAR_SEASON,FINISHED,1. FSV Mainz 05,RB Leipzig,0,1,0,1,AWAY_TEAM,Bundesliga,BL1,540427,2025
2025-09-13 13:30:00+00:00,3,REGULAR_SEASON,FINISHED,VfL Wolfsburg,1. FC Köln,3,3,1,1,DRAW,Bundesliga,BL1,540429,2025
2025-09-13 13:30:00+00:00,3,REGULAR_SEASON,FINISHED,1. FC Union Berlin,TSG 1899 Hoffenheim,2,4,0,2,AWAY_TEAM,Bundesliga,BL1,540430,2025
2025-09-13 13:30:00+00:00,3,REGULAR_SEASON,FINISHED,1. FC Heidenheim 1846,Borussia Dortmund,0,2,0,2,AWAY_TEAM,Bundesliga,BL1,540432,2025
2025-09-13 16:30:00+00:00,3,REGULAR_SEASON,FINISHED,FC Bayern München,Hamburger SV,5,0,4,0,HOME_TEAM,Bundesliga,BL1,540424,2025
2025-09-14 13:30:00+00:00,3,REGULAR_SEASON,FINISHED,FC St. Pauli 1910,FC Augsburg,2,1,1,1,HOME_TEAM,Bundesliga,BL1,540431,2025
2025-09-14 15:30:00+00:00,3,REGULAR_SEASON,FINISHED,Borussia Mönchengladbach,SV Werder Bremen,0,4,0,2,AWAY_TEAM,Bundesliga,BL1,540428,2025
2025-09-19 18:30:00+00:00,4,REGULAR_SEASON,FINISHED,VfB Stuttgart,FC St. Pauli 1910,2,0,1,0,HOME_TEAM,Bundesliga,BL1,540438,2025
2025-09-20 13:30:00+00:00,4,REGULAR_SEASON,FINISHED,SV Werder Bremen,SC Freiburg,0,3,0,1,AWAY_TEAM,Bundesliga,BL1,540437,2025
2025-09-20 13:30:00+00:00,4,REGULAR_SEASON,FINISHED,FC Augsburg,1. FSV Mainz 05,1,4,0,2,AWAY_TEAM,Bundesliga,BL1,540439,2025
2025-09-20 13:30:00+00:00,4,REGULAR_SEASON,FINISHED,TSG 1899 Hoffenheim,FC Bayern München,1,4,0,1,AWAY_TEAM,Bundesliga,BL1,540440,2025
2025-09-20 13:30:00+00:00,4,REGULAR_SEASON,FINISHED,Hamburger SV,1. FC Heidenheim 1846,2,1,1,0,HOME_TEAM,Bundesliga,BL1,540441,2025
2025-09-20 16:30:00+00:00,4,REGULAR_SEASON,FINISHED,RB Leipzig,1. FC Köln,3,1,3,1,HOME_TEAM,Bundesliga,BL1,540436,2025
2025-09-21 13:30:00+00:00,4,REGULAR_SEASON,FINISHED,Eintracht Frankfurt,1. FC Union Berlin,3,4,1,2,AWAY_TEAM,Bundesliga,BL1,540434,2025
2025-09-21 15:30:00+00:00,4,REGULAR_SEASON,FINISHED,Bayer 04 Leverkusen,Borussia Mönchengladbach,1,1,0,0,DRAW,Bundesliga,BL1,540433,2025
2025-09-21 17:30:00+00:00,4,REGULAR_SEASON,FINISHED,Borussia Dortmund,VfL Wolfsburg,1,0,1,0,HOME_TEAM,Bundesliga,BL1,540435,2025
2025-09-26 18:30:00+00:00,5,REGULAR_SEASON,FINISHED,FC Bayern München,SV Werder Bremen,4,0,2,0,HOME_TEAM,Bundesliga,BL1,540442,2025
2025-09-27 13:30:00+00:00,5,REGULAR_SEASON,FINISHED,1. FSV Mainz 05,Borussia Dortmund,0,2,0,2,AWAY_TEAM,Bundesliga,BL1,540444,2025
2025-09-27 13:30:00+00:00,5,REGULAR_SEASON,FINISHED,VfL Wolfsburg,RB Leipzig,0,1,0,1,AWAY_TEAM,Bundesliga,BL1,540446,2025
2025-09-27 13:30:00+00:00,5,REGULAR_SEASON,FINISHED,FC St. Pauli 1910,Bayer 04 Leverkusen,1,2,1,1,AWAY_TEAM,Bundesliga,BL1,540448,2025
2025-09-27 13:30:00+00:00,5,REGULAR_SEASON,FINISHED,1. FC Heidenheim 1846,FC Augsburg,2,1,0,0,HOME_TEAM,Bundesliga,BL1,540449,2025
2025-09-27 16:30:00+00:00,5,REGULAR_SEASON,FINISHED,Borussia Mönchengladbach,Eintracht Frankfurt,4,6,0,5,AWAY_TEAM,Bundesliga,BL1,540445,2025
2025-09-28 13:30:00+00:00,5,REGULAR_SEASON,FINISHED,SC Freiburg,TSG 1899 Hoffenheim,1,1,1,1,DRAW,Bundesliga,BL1,540443,2025
2025-09-28 15:30:00+00:00,5,REGULAR_SEASON,FINISHED,1. FC Köln,VfB Stuttgart,1,2,1,1,AWAY_TEAM,Bundesliga,BL1,540450,2025
2025-09-28 17:30:00+00:00,5,REGULAR_SEASON,FINISHED,1. FC Union Berlin,Hamburger SV,0,0,0,0,DRAW,Bundesliga,BL1,540447,2025
2025-10-03 18:30:00+00:00,6,REGULAR_SEASON,FINISHED,TSG 1899 Hoffenheim,1. FC Köln,0,1,0,1,AWAY_TEAM,Bundesliga,BL1,540458,2025
2025-10-04 13:30:00+00:00,6,REGULAR_SEASON,FINISHED,Bayer 04 Leverkusen,1. FC Union Berlin,2,0,1,0,HOME_TEAM,Bundesliga,BL1,540451,2025
2025-10-04 13:30:00+00:00,6,REGULAR_SEASON,FINISHED,Borussia Dortmund,RB Leipzig,1,1,1,1,DRAW,Bundesliga,BL1,540453,2025
2025-10-04 13:30:00+00:00,6,REGULAR_SEASON,FINISHED,SV Werder Bremen,FC St. Pauli 1910,1,0,1,0,HOME_TEAM,Bundesliga,BL1,540454,2025
