date,matchday,stage,status,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,winner,competition,competition_code,match_id,season
2025-02-05 00:30:00+00:00,1,ROUND_1,FINISHED,Monagas SC,Defensor SC,2,0,0,0,HOME_TEAM,Copa Libertadores,CLI,526034,2025
2025-02-06 00:30:00+00:00,1,ROUND_1,FINISHED,Club Nacional,Club Alianza Lima,1,1,1,0,DRAW,Copa Libertadores,CLI,526033,2025
2025-02-07 00:30:00+00:00,1,ROUND_1,FINISHED,CD Blooming,CSCyD El Nacional,3,2,3,1,HOME_TEAM,Copa Libertadores,CLI,526032,2025
2025-02-12 00:30:00+00:00,2,ROUND_1,FINISHED,Defensor SC,Monagas SC,0,2,0,1,AWAY_TEAM,Copa Libertadores,CLI,526037,2025
2025-02-13 00:30:00+00:00,2,ROUND_1,FINISHED,Club Alianza Lima,Club Nacional,3,1,1,1,HOME_TEAM,Copa Libertadores,CLI,526036,2025
2025-02-14 00:30:00+00:00,2,ROUND_1,FINISHED,CSCyD El Nacional,CD Blooming,6,4,0,1,HOME_TEAM,Copa Libertadores,CLI,526035,2025
2025-02-18 22:00:00+00:00,1,ROUND_2,FINISHED,CD Iquique,Independiente Santa Fe,2,1,1,1,HOME_TEAM,Copa Libertadores,CLI,526038,2025
2025-02-19 00:30:00+00:00,1,ROUND_2,FINISHED,Club Alianza Lima,CA Boca Juniors,1,0,1,0,HOME_TEAM,Copa Libertadores,CLI,526042,2025
2025-02-19 00:30:00+00:00,1,ROUND_2,FINISHED,Club The Strongest,EC Bahia,1,1,1,0,DRAW,Copa Libertadores,CLI,526043,2025
2025-02-19 22:00:00+00:00,1,ROUND_2,FINISHED,CA Boston River,CD Nublense,1,0,0,0,HOME_TEAM,Copa Libertadores,CLI,526044,2025
2025-02-20 00:30:00+00:00,1,ROUND_2,FINISHED,CSCyD El Nacional,Barcelona SC,0,1,0,0,AWAY_TEAM,Copa Libertadores,CLI,526040,2025
2025-02-20 00:30:00+00:00,1,ROUND_2,FINISHED,Universidad Central de Venezuela FC,SC Corinthians Paulista,1,1,0,1,DRAW,Copa Libertadores,CLI,526045,2025
2025-02-20 22:00:00+00:00,1,ROUND_2,FINISHED,Monagas SC,Club Cerro Porteño,0,4,0,3,AWAY_TEAM,Copa Libertadores,CLI,526039,2025
2025-02-21 00:30:00+00:00,1,ROUND_2,FINISHED,CD Tolima,FBC Melgar,0,1,0,1,AWAY_TEAM,Copa Libertadores,CLI,526041,2025
2025-02-25 22:00:00+00:00,2,ROUND_2,FINISHED,Independiente Santa Fe,CD Iquique,3,3,1,1,AWAY_TEAM,Copa Libertadores,CLI,526046,2025
2025-02-26 00:30:00+00:00,2,ROUND_2,FINISHED,CA Boca Juniors,Club Alianza Lima,6,6,1,1,AWAY_TEAM,Copa Libertadores,CLI,526050,2025
2025-02-26 00:30:00+00:00,2,ROUND_2,FINISHED,EC Bahia,Club The Strongest,3,0,1,0,HOME_TEAM,Copa Libertadores,CLI,526051,2025
2025-02-26 22:00:00+00:00,2,ROUND_2,FINISHED,CD Nublense,CA Boston River,1,1,1,0,DRAW,Copa Libertadores,CLI,526052,2025
2025-02-27 00:30:00+00:00,2,ROUND_2,FINISHED,Barcelona SC,CSCyD El Nacional,1,1,0,1,DRAW,Copa Libertadores,CLI,526048,2025
2025-02-27 00:30:00+00:00,2,ROUND_2,FINISHED,SC Corinthians Paulista,Universidad Central de Venezuela FC,3,2,2,2,HOME_TEAM,Copa Libertadores,CLI,526053,2025
2025-02-27 22:00:00+00:00,2,ROUND_2,FINISHED,Club Cerro Porteño,Monagas SC,3,1,2,1,HOME_TEAM,Copa Libertadores,CLI,526047,2025
2025-02-28 00:30:00+00:00,2,ROUND_2,FINISHED,FBC Melgar,CD Tolima,1,0,0,0,HOME_TEAM,Copa Libertadores,CLI,526049,2025
2025-03-04 22:00:00+00:00,1,ROUND_3,FINISHED,CD Iquique,Club Alianza Lima,1,2,0,2,AWAY_TEAM,Copa Libertadores,CLI,535763,2025
2025-03-05 22:00:00+00:00,1,ROUND_3,FINISHED,FBC Melgar,Club Cerro Porteño,0,1,0,1,AWAY_TEAM,Copa Libertadores,CLI,535764,2025
2025-03-06 00:30:00+00:00,1,ROUND_3,FINISHED,Barcelona SC,SC Corinthians Paulista,3,0,1,0,HOME_TEAM,Copa Libertadores,CLI,535761,2025
2025-03-07 00:30:00+00:00,1,ROUND_3,FINISHED,CA Boston River,EC Bahia,0,0,0,0,DRAW,Copa Libertadores,CLI,535762,2025
2025-03-11 22:00:00+00:00,2,ROUND_3,FINISHED,Club Alianza Lima,CD Iquique,1,1,1,0,DRAW,Copa Libertadores,CLI,535767,2025
2025-03-12 22:00:00+00:00,2,ROUND_3,FINISHED,Club Cerro Porteño,FBC Melgar,4,2,1,1,HOME_TEAM,Copa Libertadores,CLI,535768,2025
2025-03-13 00:30:00+00:00,2,ROUND_3,FINISHED,SC Corinthians Paulista,Barcelona SC,2,0,1,0,HOME_TEAM,Copa Libertadores,CLI,535765,2025
2025-03-14 00:30:00+00:00,2,ROUND_3,FINISHED,EC Bahia,CA Boston River,1,0,0,0,HOME_TEAM,Copa Libertadores,CLI,535766,2025
2025-04-01 22:00:00+00:00,1,GROUP_STAGE,FINISHED,Carabobo FC,Estudiantes de La Plata,0,2,0,1,AWAY_TEAM,Copa Libertadores,CLI,535867,2025
2025-04-01 22:00:00+00:00,1,GROUP_STAGE,FINISHED,Club Cerro Porteño,Club Bolívar,4,2,1,1,HOME_TEAM,Copa Libertadores,CLI,535939,2025
2025-04-02 00:30:00+00:00,1,GROUP_STAGE,FINISHED,CA Bucaramanga,CSD Colo-Colo,3,3,2,1,DRAW,Copa Libertadores,CLI,535915,2025
2025-04-02 00:30:00+00:00,1,GROUP_STAGE,FINISHED,Fortaleza EC,Racing Club,0,3,0,1,AWAY_TEAM,Copa Libertadores,CLI,535916,2025
2025-04-02 02:00:00+00:00,1,GROUP_STAGE,FINISHED,Barcelona SC,CAR Independiente del Valle,1,0,1,0,HOME_TEAM,Copa Libertadores,CLI,535879,2025
2025-04-02 02:00:00+00:00,1,GROUP_STAGE,FINISHED,Club Alianza Lima,Club Libertad Asuncion,0,1,0,0,AWAY_TEAM,Copa Libertadores,CLI,535903,2025
2025-04-02 22:00:00+00:00,1,GROUP_STAGE,FINISHED,San Antonio Bulo Bulo,Olimpia Asuncion,3,2,1,0,HOME_TEAM,Copa Libertadores,CLI,535951,2025
2025-04-02 22:00:00+00:00,1,GROUP_STAGE,FINISHED,CA Vélez Sarsfield,CA Peñarol,2,1,0,0,HOME_TEAM,Copa Libertadores,CLI,535952,2025
2025-04-03 00:30:00+00:00,1,GROUP_STAGE,FINISHED,CF Universidad de Chile,Botafogo FR,1,0,0,0,HOME_TEAM,Copa Libertadores,CLI,535868,2025
2025-04-03 00:30:00+00:00,1,GROUP_STAGE,FINISHED,Club Universitario de Deportes,CA River Plate,0,1,0,1,AWAY_TEAM,Copa Libertadores,CLI,535880,2025
2025-04-03 00:30:00+00:00,1,GROUP_STAGE,FINISHED,CA Talleres,São Paulo FC,0,1,0,0,AWAY_TEAM,Copa Libertadores,CLI,535904,2025
2025-04-03 02:00:00+00:00,1,GROUP_STAGE,FINISHED,CDC Atlético Nacional,Club Nacional de Football,3,0,1,0,HOME_TEAM,Copa Libertadores,CLI,535928,2025
2025-04-03 22:00:00+00:00,1,GROUP_STAGE,FINISHED,CA Central Córdoba,LDU de Quito,0,0,0,0,DRAW,Copa Libertadores,CLI,535891,2025
2025-04-03 22:00:00+00:00,1,GROUP_STAGE,FINISHED,EC Bahia,SC Internacional,1,1,0,0,DRAW,Copa Libertadores,CLI,535927,2025
2025-04-03 22:00:00+00:00,1,GROUP_STAGE,FINISHED,CS Cristal,SE Palmeiras,2,3,0,1,AWAY_TEAM,Copa Libertadores,CLI,535940,2025
