date,matchday,stage,status,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,winner,competition,competition_code,match_id,season
2025-09-16 16:45:00+00:00,1,LEAGUE_STAGE,FINISHED,Athletic Club,Arsenal FC,0,2,0,0,AWAY_TEAM,Champions League,CL,551981,2025
2025-09-16 16:45:00+00:00,1,LEAGUE_STAGE,FINISHED,PSV,Royale Union Saint-Gilloise,1,3,0,2,AWAY_TEAM,Champions League,CL,552049,2025
2025-09-16 19:00:00+00:00,1,LEAGUE_STAGE,FINISHED,Juventus FC,Borussia Dortmund,4,4,0,0,DRAW,Champions League,CL,551941,2025
2025-09-16 19:00:00+00:00,1,LEAGUE_STAGE,FINISHED,Sport Lisboa e Benfica,Qarabağ Ağdam FK,2,3,2,1,AWAY_TEAM,Champions League,CL,551991,2025
2025-09-16 19:00:00+00:00,1,LEAGUE_STAGE,FINISHED,Tottenham Hotspur FC,Villarreal CF,1,0,1,0,HOME_TEAM,Champions League,CL,552012,2025
2025-09-16 19:00:00+00:00,1,LEAGUE_STAGE,FINISHED,Real Madrid CF,Olympique de Marseille,2,1,1,1,HOME_TEAM,Champions League,CL,551927,2025
2025-09-17 16:45:00+00:00,1,LEAGUE_STAGE,FINISHED,SK Slavia Praha,FK Bodø/Glimt,2,2,1,0,DRAW,Champions League,CL,552023,2025
2025-09-17 16:45:00+00:00,1,LEAGUE_STAGE,FINISHED,PAE Olympiakos SFP,Paphos FC,0,0,0,0,DRAW,Champions League,CL,552031,2025
2025-09-17 19:00:00+00:00,1,LEAGUE_STAGE,FINISHED,AFC Ajax,FC Internazionale Milano,0,2,0,1,AWAY_TEAM,Champions League,CL,551936,2025
2025-09-17 19:00:00+00:00,1,LEAGUE_STAGE,FINISHED,Liverpool FC,Club Atlético de Madrid,3,2,2,1,HOME_TEAM,Champions League,CL,551946,2025
2025-09-17 19:00:00+00:00,1,LEAGUE_STAGE,FINISHED,Paris Saint-Germain FC,Atalanta BC,4,0,2,0,HOME_TEAM,Champions League,CL,551959,2025
2025-09-17 19:00:00+00:00,1,LEAGUE_STAGE,FINISHED,FC Bayern München,Chelsea FC,3,1,2,1,HOME_TEAM,Champions League,CL,551908,2025
