position,team,played,won,draw,lost,points,goals_for,goals_against,goal_difference,form,competition,competition_code
1,FC Bayern München,2,2,0,0,6,8,2,6,,Champions League,CL
2,Real Madrid CF,2,2,0,0,6,7,1,6,,Champions League,CL
3,Paris Saint-Germain FC,2,2,0,0,6,6,1,5,,Champions League,CL
4,FC Internazionale Milano,2,2,0,0,6,5,0,5,,Champions League,CL
5,Arsenal FC,2,2,0,0,6,4,0,4,,Champions League,CL
6,Qarabağ Ağdam FK,2,2,0,0,6,5,2,3,,Champions League,CL
7,Borussia Dortmund,2,1,1,0,4,8,5,3,,Champions League,CL
8,Manchester City FC,2,1,1,0,4,4,2,2,,Champions League,CL
9,Tottenham Hotspur FC,2,1,1,0,4,3,2,1,,Champions League,CL
10,Club Atlético de Madrid,2,1,0,1,3,7,4,3,,Champions League,CL
11,Newcastle United FC,2,1,0,1,3,5,2,3,,Champions League,CL
12,Olympique de Marseille,2,1,0,1,3,5,2,3,,Champions League,CL
13,Club Brugge KV,2,1,0,1,3,5,3,2,,Champions League,CL
13,Sporting Clube de Portugal,2,1,0,1,3,5,3,2,,Champions League,CL
15,Eintracht Frankfurt,2,1,0,1,3,6,6,0,,Champions League,CL
16,FC Barcelona,2,1,0,1,3,3,3,0,,Champions League,CL
17,Liverpool FC,2,1,0,1,3,3,3,0,,Champions League,CL
18,Chelsea FC,2,1,0,1,3,2,3,-1,,Champions League,CL
19,SSC Napoli,2,1,0,1,3,2,3,-1,,Champions League,CL
20,Royale Union Saint-Gilloise,2,1,0,1,3,3,5,-2,,Champions League,CL
21,Galatasaray SK,2,1,0,1,3,2,5,-3,,Champions League,CL
22,Atalanta BC,2,1,0,1,3,2,5,-3,,Champions League,CL
23,Juventus FC,2,0,2,0,2,6,6,0,,Champions League,CL
24,FK Bodø/Glimt,2,0,2,0,2,4,4,0,,Champions League,CL
25,Bayer 04 Leverkusen,2,0,2,0,2,3,3,0,,Champions League,CL
26,Villarreal CF,2,0,1,1,1,2,3,-1,,Champions League,CL
27,PSV,2,0,1,1,1,2,4,-2,,Champions League,CL
28,FC København,2,0,1,1,1,2,4,-2,,Champions League,CL
29,PAE Olympiakos SFP,2,0,1,1,1,0,2,-2,,Champions League,CL
30,AS Monaco FC,2,0,1,1,1,3,6,-3,,Champions League,CL
31,SK Slavia Praha,2,0,1,1,1,2,5,-3,,Champions League,CL
32,Paphos FC,2,0,1,1,1,1,5,-4,,Champions League,CL
33,Sport Lisboa e Benfica,2,0,0,2,0,2,4,-2,,Champions League,CL
34,Athletic Club,2,0,0,2,0,1,6,-5,,Champions League,CL
35,AFC Ajax,2,0,0,2,0,0,6,-6,,Champions League,CL
36,FK Kairat,2,0,0,2,0,1,9,-8,,Champions League,CL
