date,matchday,home_team,away_team,competition,competition_code,match_id
2025-10-21 16:45:00+00:00,3,FC Barcelona,PAE Olympiakos SFP,Champions League,CL,551955
2025-10-21 16:45:00+00:00,3,FK Kairat,Paphos FC,Champions League,CL,552045
2025-10-21 19:00:00+00:00,3,Royale Union Saint-Gilloise,FC Internazionale Milano,Champions League,CL,551938
2025-10-21 19:00:00+00:00,3,FC København,Borussia Dortmund,Champions League,CL,551945
2025-10-21 19:00:00+00:00,3,Bayer 04 Leverkusen,Paris Saint-Germain FC,Champions League,CL,551960
2025-10-21 19:00:00+00:00,3,Villarreal CF,Manchester City FC,Champions League,CL,551964
2025-10-21 19:00:00+00:00,3,Arsenal FC,Club Atlético de Madrid,Champions League,CL,551976
2025-10-21 19:00:00+00:00,3,Newcastle United FC,Sport Lisboa e Benfica,Champions League,CL,551992
2025-10-21 19:00:00+00:00,3,PSV,SSC Napoli,Champions League,CL,552048
2025-10-22 16:45:00+00:00,3,Galatasaray SK,FK Bodø/Glimt,Champions League,CL,552025
2025-10-22 16:45:00+00:00,3,Athletic Club,Qarabağ Ağdam FK,Champions League,CL,552040
2025-10-22 19:00:00+00:00,3,Eintracht Frankfurt,Liverpool FC,Champions League,CL,551947
2025-10-22 19:00:00+00:00,3,Atalanta BC,SK Slavia Praha,Champions League,CL,551984
2025-10-22 19:00:00+00:00,3,Sporting Clube de Portugal,Olympique de Marseille,Champions League,CL,552016
2025-10-22 19:00:00+00:00,3,AS Monaco FC,Tottenham Hotspur FC,Champions League,CL,552022
2025-10-22 19:00:00+00:00,3,FC Bayern München,Club Brugge KV,Champions League,CL,551910
2025-10-22 19:00:00+00:00,3,Chelsea FC,AFC Ajax,Champions League,CL,551919
2025-10-22 19:00:00+00:00,3,Real Madrid CF,Juventus FC,Champions League,CL,551925
