date,matchday,stage,status,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,winner,competition,competition_code,match_id,season
2025-08-15 18:45:00+00:00,1,REGULAR_SEASON,FINISHED,Stade Rennais FC 1901,Olympique de Marseille,1,0,0,0,HOME_TEAM,Ligue 1,FL1,542414,2025
2025-08-16 15:00:00+00:00,1,REGULAR_SEASON,FINISHED,Racing Club de Lens,Olympique Lyonnais,0,1,0,1,AWAY_TEAM,Ligue 1,FL1,542411,2025
2025-08-16 17:00:00+00:00,1,REGULAR_SEASON,FINISHED,AS Monaco FC,Le Havre AC,3,1,1,0,HOME_TEAM,Ligue 1,FL1,542407,2025
2025-08-16 19:05:00+00:00,1,REGULAR_SEASON,FINISHED,OGC Nice,Toulouse FC,0,1,0,0,AWAY_TEAM,Ligue 1,FL1,542410,2025
2025-08-17 13:00:00+00:00,1,REGULAR_SEASON,FINISHED,Stade Brestois 29,Lille OSC,3,3,1,2,DRAW,Ligue 1,FL1,542413,2025
2025-08-17 15:15:00+00:00,1,REGULAR_SEASON,FINISHED,AJ Auxerre,FC Lorient,1,0,0,0,HOME_TEAM,Ligue 1,FL1,542406,2025
2025-08-17 15:15:00+00:00,1,REGULAR_SEASON,FINISHED,FC Metz,RC Strasbourg Alsace,0,1,0,0,AWAY_TEAM,Ligue 1,FL1,542408,2025
2025-08-17 15:15:00+00:00,1,REGULAR_SEASON,FINISHED,Angers SCO,Paris FC,1,0,1,0,HOME_TEAM,Ligue 1,FL1,542412,2025
2025-08-17 18:45:00+00:00,1,REGULAR_SEASON,FINISHED,FC Nantes,Paris Saint-Germain FC,0,1,0,0,AWAY_TEAM,Ligue 1,FL1,542409,2025
2025-08-22 18:45:00+00:00,2,REGULAR_SEASON,FINISHED,Paris Saint-Germain FC,Angers SCO,1,0,0,0,HOME_TEAM,Ligue 1,FL1,542422,2025
2025-08-23 15:00:00+00:00,2,REGULAR_SEASON,FINISHED,Olympique de Marseille,Paris FC,5,2,2,1,HOME_TEAM,Ligue 1,FL1,542420,2025
2025-08-23 17:00:00+00:00,2,REGULAR_SEASON,FINISHED,OGC Nice,AJ Auxerre,3,1,2,1,HOME_TEAM,Ligue 1,FL1,542418,2025
2025-08-23 19:05:00+00:00,2,REGULAR_SEASON,FINISHED,Olympique Lyonnais,FC Metz,3,0,2,0,HOME_TEAM,Ligue 1,FL1,542419,2025
