date,matchday,stage,status,home_team,away_team,score_home,score_away,score_ht_home,score_ht_away,winner,competition,competition_code,match_id,season
2025-08-23 16:30:00+00:00,1,REGULAR_SEASON,FINISHED,Genoa CFC,US Lecce,0,0,0,0,DRAW,Serie A,SA,536819,2025
2025-08-23 16:30:00+00:00,1,REGULAR_SEASON,FINISHED,US Sassuolo Calcio,SSC Napoli,0,2,0,1,AWAY_TEAM,Serie A,SA,536823,2025
2025-08-23 18:45:00+00:00,1,REGULAR_SEASON,FINISHED,AC Milan,US Cremonese,1,2,1,1,AWAY_TEAM,Serie A,SA,536815,2025
2025-08-23 18:45:00+00:00,1,REGULAR_SEASON,FINISHED,AS Roma,Bologna FC 1909,1,0,0,0,HOME_TEAM,Serie A,SA,536816,2025
2025-08-24 16:30:00+00:00,1,REGULAR_SEASON,FINISHED,Cagliari Calcio,ACF Fiorentina,1,1,0,0,DRAW,Serie A,SA,536818,2025
2025-08-24 16:30:00+00:00,1,REGULAR_SEASON,FINISHED,Como 1907,SS Lazio,2,0,0,0,HOME_TEAM,Serie A,SA,536820,2025
2025-08-24 18:45:00+00:00,1,REGULAR_SEASON,FINISHED,Atalanta BC,AC Pisa 1909,1,1,0,1,DRAW,Serie A,SA,536817,2025
2025-08-24 18:45:00+00:00,1,REGULAR_SEASON,FINISHED,Juventus FC,Parma Calcio 1913,2,0,0,0,HOME_TEAM,Serie A,SA,536822,2025
2025-08-25 16:30:00+00:00,1,REGULAR_SEASON,FINISHED,Udinese Calcio,Hellas Verona FC,1,1,0,0,DRAW,Serie A,SA,536824,2025
2025-08-25 18:45:00+00:00,1,REGULAR_SEASON,FINISHED,FC Internazionale Milano,Torino FC,5,0,2,0,HOME_TEAM,Serie A,SA,536821,2025
2025-08-29 16:30:00+00:00,2,REGULAR_SEASON,FINISHED,US Cremonese,US Sassuolo Calcio,3,2,2,0,HOME_TEAM,Serie A,SA,536833,2025
2025-08-29 18:45:00+00:00,2,REGULAR_SEASON,FINISHED,US Lecce,AC Milan,0,2,0,0,AWAY_TEAM,Serie A,SA,536834,2025
2025-08-30 16:30:00+00:00,2,REGULAR_SEASON,FINISHED,Bologna FC 1909,Como 1907,1,0,0,0,HOME_TEAM,Serie A,SA,536826,2025
2025-08-30 16:30:00+00:00,2,REGULAR_SEASON,FINISHED,Parma Calcio 1913,Atalanta BC,1,1,0,0,DRAW,Serie A,SA,536830,2025
2025-08-30 18:45:00+00:00,2,REGULAR_SEASON,FINISHED,SSC Napoli,Cagliari Calcio,1,0,0,0,HOME_TEAM,Serie A,SA,536832,2025
2025-08-30 18:45:00+00:00,2,REGULAR_SEASON,FINISHED,AC Pisa 1909,AS Roma,0,1,0,0,AWAY_TEAM,Serie A,SA,536831,2025
2025-08-31 16:30:00+00:00,2,REGULAR_SEASON,FINISHED,Genoa CFC,Juventus FC,0,1,0,0,AWAY_TEAM,Serie A,SA,536825,2025
2025-08-31 16:30:00+00:00,2,REGULAR_SEASON,FINISHED,Torino FC,ACF Fiorentina,0,0,0,0,DRAW,Serie A,SA,536827,2025
2025-08-31 18:45:00+00:00,2,REGULAR_SEASON,FINISHED,FC Internazionale Milano,Udinese Calcio,1,2,1,2,AWAY_TEAM,Serie A,SA,536828,2025
2025-08-31 18:45:00+00:00,2,REGULAR_SEASON,FINISHED,SS Lazio,Hellas Verona FC,4,0,3,0,HOME_TEAM,Serie A,SA,536829,2025
2025-09-13 13:00:00+00:00,3,REGULAR_SEASON,FINISHED,Cagliari Calcio,Parma Calcio 1913,2,0,1,0,HOME_TEAM,Serie A,SA,536839,2025
2025-09-13 16:00:00+00:00,3,REGULAR_SEASON,FINISHED,Juventus FC,FC Internazionale Milano,4,3,2,1,HOME_TEAM,Serie A,SA,536842,2025
2025-09-13 18:45:00+00:00,3,REGULAR_SEASON,FINISHED,ACF Fiorentina,SSC Napoli,1,3,0,2,AWAY_TEAM,Serie A,SA,536835,2025
2025-09-14 10:30:00+00:00,3,REGULAR_SEASON,FINISHED,AS Roma,Torino FC,0,1,0,0,AWAY_TEAM,Serie A,SA,536837,2025
2025-09-14 13:00:00+00:00,3,REGULAR_SEASON,FINISHED,Atalanta BC,US Lecce,4,1,1,0,HOME_TEAM,Serie A,SA,536838,2025
2025-09-14 13:00:00+00:00,3,REGULAR_SEASON,FINISHED,AC Pisa 1909,Udinese Calcio,0,1,0,1,AWAY_TEAM,Serie A,SA,536843,2025
2025-09-14 16:00:00+00:00,3,REGULAR_SEASON,FINISHED,US Sassuolo Calcio,SS Lazio,1,0,0,0,HOME_TEAM,Serie A,SA,536844,2025
2025-09-14 18:45:00+00:00,3,REGULAR_SEASON,FINISHED,AC Milan,Bologna FC 1909,1,0,0,0,HOME_TEAM,Serie A,SA,536836,2025
2025-09-15 16:30:00+00:00,3,REGULAR_SEASON,FINISHED,Hellas Verona FC,US Cremonese,0,0,0,0,DRAW,Serie A,SA,536841,2025
2025-09-15 18:45:00+00:00,3,REGULAR_SEASON,FINISHED,Como 1907,Genoa CFC,1,1,1,0,DRAW,Serie A,SA,536840,2025
2025-09-19 18:45:00+00:00,4,REGULAR_SEASON,FINISHED,US Lecce,Cagliari Calcio,1,2,1,1,AWAY_TEAM,Serie A,SA,536854,2025
2025-09-20 13:00:00+00:00,4,REGULAR_SEASON,FINISHED,Bologna FC 1909,Genoa CFC,2,1,0,0,HOME_TEAM,Serie A,SA,536846,2025
2025-09-20 16:00:00+00:00,4,REGULAR_SEASON,FINISHED,Hellas Verona FC,Juventus FC,1,1,1,1,DRAW,Serie A,SA,536848,2025
2025-09-20 18:45:00+00:00,4,REGULAR_SEASON,FINISHED,Udinese Calcio,AC Milan,0,3,0,1,AWAY_TEAM,Serie A,SA,536852,2025
2025-09-21 10:30:00+00:00,4,REGULAR_SEASON,FINISHED,SS Lazio,AS Roma,0,1,0,1,AWAY_TEAM,Serie A,SA,536850,2025
2025-09-21 13:00:00+00:00,4,REGULAR_SEASON,FINISHED,Torino FC,Atalanta BC,0,3,0,3,AWAY_TEAM,Serie A,SA,536847,2025
2025-09-21 13:00:00+00:00,4,REGULAR_SEASON,FINISHED,US Cremonese,Parma Calcio 1913,0,0,0,0,DRAW,Serie A,SA,536853,2025
2025-09-21 16:00:00+00:00,4,REGULAR_SEASON,FINISHED,ACF Fiorentina,Como 1907,1,2,1,0,AWAY_TEAM,Serie A,SA,536845,2025
2025-09-21 18:45:00+00:00,4,REGULAR_SEASON,FINISHED,FC Internazionale Milano,US Sassuolo Calcio,2,1,1,0,HOME_TEAM,Serie A,SA,536849,2025
2025-09-22 18:45:00+00:00,4,REGULAR_SEASON,FINISHED,SSC Napoli,AC Pisa 1909,3,2,1,0,HOME_TEAM,Serie A,SA,536851,2025
2025-09-27 13:00:00+00:00,5,REGULAR_SEASON,FINISHED,Como 1907,US Cremonese,1,1,1,0,DRAW,Serie A,SA,536859,2025
2025-09-27 16:00:00+00:00,5,REGULAR_SEASON,FINISHED,Juventus FC,Atalanta BC,1,1,0,1,DRAW,Serie A,SA,536860,2025
2025-09-27 18:45:00+00:00,5,REGULAR_SEASON,FINISHED,Cagliari Calcio,FC Internazionale Milano,0,2,0,1,AWAY_TEAM,Serie A,SA,536857,2025
2025-09-28 10:30:00+00:00,5,REGULAR_SEASON,FINISHED,US Sassuolo Calcio,Udinese Calcio,3,1,2,0,HOME_TEAM,Serie A,SA,536863,2025
2025-09-28 13:00:00+00:00,5,REGULAR_SEASON,FINISHED,AS Roma,Hellas Verona FC,2,0,1,0,HOME_TEAM,Serie A,SA,536856,2025
2025-09-28 13:00:00+00:00,5,REGULAR_SEASON,FINISHED,AC Pisa 1909,ACF Fiorentina,0,0,0,0,DRAW,Serie A,SA,536862,2025
