date,league,home,away,market,selection,line,odds_open,stake,result,pnl,equity,p_model,p_mkt
2025-04-14,I1,Napoli,Empoli,OU2.5,Over,2.5,1.95,1.494792142561347,WIN,1.4200525354332796,101.42005253543329,0.6948785301837538,0.5
2025-04-14,E0,Bournemouth,Fulham,1X2,A,,3.3,1.5593659597163736,LOSS,-1.5593659597163736,99.86068657571691,0.5709336400032043,0.28754298815437523
2025-04-14,SP1,Ath Madrid,Valladolid,AH,Home,-2.25,1.99,2.4735296012526975,WIN,2.4487943052401704,102.30948088095708,0.9954192087933986,
2025-04-16,E0,Newcastle,Crystal Palace,AH,Home,-0.75,1.92,1.286106824242896,WIN,1.1832182783034642,103.49269915926055,0.7617726928700215,
2025-04-18,SP1,Espanol,Getafe,OU2.5,Over,2.5,3.0,1.160052358075684,LOSS,-1.160052358075684,102.33264680118486,0.5201504337181196,0.3181818181818181
2025-04-19,E0,Brentford,Brighton,1X2,H,,2.4,3.206302764800213,WIN,4.488823870720298,106.82147067190516,0.8735939860343933,0.39176547697074426
2025-04-19,E0,Aston Villa,Newcastle,1X2,H,,2.3,4.272858826876207,WIN,5.5547164749390685,112.37618714684423,1.0,0.40399918384003264
2025-04-19,E0,Crystal Palace,Bournemouth,1X2,H,,2.45,0.9317557856409612,LOSS,-0.9317557856409612,111.44443136120327,0.530842125415802,0.3828316115075915
2025-04-19,D1,Freiburg,Hoffenheim,AH,Home,-0.5,1.97,1.5855805855974041,WIN,1.538013168029482,112.98244452923275,0.7878318372251455,
2025-04-19,I1,Lecce,Como,OU2.5,Over,2.5,2.1,0.4668416181901938,WIN,0.5135257800092132,113.49597030924197,0.5302997864327861,0.4516971279373368
2025-04-19,I1,Roma,Verona,AH,Home,-1.25,1.98,2.3643786126902455,WIN,2.3170910404364404,115.8130613496784,0.9174873508810151,
2025-04-19,SP1,Mallorca,Leganes,1X2,D,,3.1,1.995374782743511,WIN,4.190287043761374,120.00334839343978,0.6143667101860046,0.3034279153682139
2025-04-19,E0,Everton,Man City,AH,Away,0.5,1.97,0.3929198262694862,LOSS,-0.3929198262694862,119.61042856717029,0.5721017930523311,
2025-04-19,D1,RB Leipzig,Holstein Kiel,1X2,D,,5.75,2.850896237308982,WIN,13.541757127217664,133.15218569438795,0.6661544442176819,0.16420428824231448
2025-04-19,D1,Union Berlin,Stuttgart,1X2,A,,2.45,2.5579776517929167,LOSS,-2.5579776517929167,130.59420804259503,0.6924066543579102,0.38526912181303113
2025-04-19,SP1,Las Palmas,Ath Madrid,1X2,D,,4.2,2.5896008428470814,LOSS,-2.5896008428470814,128.00460719974794,0.6157975196838379,0.22521953376713624
2025-04-19,D1,Werder Bremen,Bochum,AH,Home,-0.75,1.95,2.2692135644208724,WIN,2.1557528861998287,130.16036008594776,0.8582812973343608,
2025-04-19,SP1,Vallecano,Valencia,1X2,A,,3.4,1.7250784012167288,LOSS,-1.7250784012167288,128.43528168473102,0.5280026793479919,0.27439024390243905
2025-04-19,SP1,Barcelona,Celta,OU2.5,Under,2.5,3.2,0.7086708448920427,LOSS,-0.7086708448920427,127.72661083983898,0.4073359359422811,0.2982456140350877
